species_name,clean_name,global_name,shai_name,global range size_m2,P_range_in_israel,SDM_israel_range_size_m2,SDM_P_strict_PA,SDM_P_loose_PA,Shai_israel_range_size,Shai_P_strict_PA,Shai_P_loose_PA,ISR_pcpi_2050_45,ISR_rank_2050_45,ISR_pcpi_2050_85,ISR_rank_2050_85,ISR_pcpi_2100_45,ISR_rank_2100_45,ISR_pcpi_2100_85,ISR_rank_2100_85,Global_pcpi_2050_45,Global_pcpi_2100_45,Global_pcpi_2050_85,Global_pcpi_2100_85,IUCN_global_status,IUCN_local_status
Ablepharus_rueppellii,Ablepharus rueppellii,Ablepharus rueppellii,Ablepharus_rueppellii,46689226974,0.472024671,5251014535,0.175857117,0.289583904,16495793092,0.142601134,0.215763396,0.131172064,198,0.144801691,192,0.129207326,194,0.158825939,175,0.075508935,0.07156339,0.087144798,0.112648424,LC,LC
Acanthodactylus_aegyptius,Acanthodactylus aegyptius,Acanthodactylus aegyptius,Acanthodactylus_aegyptius,2.42E+11,0.012177647,1042717411,0.23390649,0.445887219,2071393293,0.140679588,0.270202672,0.259663833,87,0.280960651,92,0.228442602,99,0.245340817,106,0.093342028,0.09433216,0.116351119,0.168386035,NE,VU
Acanthodactylus_beershebensis,Acanthodactylus beershebensis,Acanthodactylus beershebensis,Acanthodactylus_beershebensis,3478615290,1,1082605756,0.087431437,0.101211323,2172910206,0.110846762,0.148347671,0.223860923,119,0.311687078,68,0.186701083,129,0.353927941,39,0.143197138,0.16762206,0.239091516,0.215124003,CR,CR
Acanthodactylus_boskianus,Acanthodactylus boskianus,Acanthodactylus boskianus,Acanthodactylus_boskianus,1.26E+13,0.001985111,4354052096,0.355287761,0.398488626,13009710382,0.338900968,0.386995742,0.074238658,282,0.079201242,281,0.072890212,286,0.076279361,286,0.029416649,0.029161231,0.033991401,0.052724554,NE,LC
Acanthodactylus_opheodurus,Acanthodactylus opheodurus,Acanthodactylus opheodurus,Acanthodactylus_opheodurus,1.71E+12,0.002570394,15184946.26,0.16813297,0.481947021,156259187.8,0.245701929,0.342984835,0.168209168,167,0.188268246,162,0.134058362,184,0.14302852,192,0.135737364,0.14742008,0.152691459,0.202930862,LC,DD
Acanthodactylus_scutellatus,Acanthodactylus scutellatus,Acanthodactylus scutellatus,Acanthodactylus_scutellatus,8.73E+12,0.000788123,2042154563,0.159802744,0.293040275,2803763253,0.141544508,0.243814305,0.28812255,72,0.311021618,69,0.26044098,73,0.283185837,73,0.047668783,0.050580035,0.075579572,0.151772213,NE,NT
Atractaspis_engaddensis,Atractaspis engaddensis,Atractaspis engaddensis,Atractaspis_engaddensis,3.05E+11,0.037323762,2902317847,0.16015734,0.2102228,10493866378,0.386128536,0.414507985,0.108332074,227,0.122630458,216,0.087071682,258,0.115745847,225,0.100177889,0.105060709,0.118161848,0.163272058,LC,LC
Bunopus_blanfordii,Bunopus blanfordii,Bunopus blanfordii,Bunopus_blanfordii,1406580165,0.972140235,444714730.4,0.32227903,0.424137101,1022117996,0.420238658,0.460666635,0.174119692,160,0.314579284,63,0.140300016,176,0.341372239,44,0.14254248,0.168444302,0.230943245,0.220204899,NE,LC
Cerastes_cerastes,Cerastes cerastes,Cerastes cerastes,Cerastes_cerastes,9.95E+12,0.00024637,498194493.7,0.339427315,0.49877859,1063629668,0.20716874,0.420855966,0.180795319,154,0.212647167,140,0.134133219,183,0.148260277,183,0.057334437,0.057889585,0.084270722,0.157524882,NE,EN
Cerastes_gasperettii,Cerastes gasperettii,Cerastes gasperettii,Cerastes_gasperettii,3.10E+12,0.000518673,462164434.4,0.301903523,0.386511352,720361923.7,0.264445516,0.314280112,0.178550003,157,0.196121908,155,0.146503779,168,0.155775542,178,0.129903092,0.141506255,0.148533089,0.196398414,LC,EN
Cerastes_vipera,Cerastes vipera,Cerastes vipera,Cerastes_vipera,8.55E+12,0.000318632,951951761.5,0.234518287,0.352740516,1819012006,0.199776972,0.355223073,0.178065461,158,0.208506113,146,0.133847963,186,0.148485967,182,0.044039464,0.046162625,0.070777119,0.144580211,LC,VU
Chalcides_guentheri,Chalcides guentheri,Chalcides guentheri,Chalcides_guentheri,19773949767,0.706775441,4852642580,0.232485553,0.368979181,14085852444,0.101963292,0.173016777,0.31997477,45,0.334116462,47,0.319442623,40,0.476108528,11,0.18543489,0.202178568,0.227311676,0.294794052,VU,VU
Chalcides_ocellatus,Chalcides ocellatus,Chalcides ocellatus,Chalcides_ocellatus,9.31E+12,0.003003452,6376554295,0.158181921,0.228431945,27430716600,0.218586178,0.281801966,0.079310824,273,0.083663278,271,0.079074376,275,0.081901241,278,0.033524621,0.031709246,0.036403509,0.046673154,NE,LC
Chalcides_sepsoides,Chalcides sepsoides,Chalcides sepsoides,Chalcides_sepsoides,8.94E+11,0.017332534,1763714663,0.216724717,0.359493402,2469013913,0.19548339,0.316750988,0.254189064,90,0.274990422,94,0.22765793,100,0.243221888,108,0.056457028,0.055877159,0.069626927,0.128873539,LC,NT
Chamaeleo_chamaeleon,Chamaeleo chamaeleon,Chamaeleo chamaeleon,Chamaeleo_chamaeleon,1.96E+12,0.014239763,8572930616,0.158458745,0.259943505,18916406985,0.109989229,0.187917265,0.047316509,311,0.049929019,311,0.049884587,308,0.051525563,311,0.037251726,0.036666281,0.040977426,0.048352138,LC,LC
Daboia_palaestinae,Daboia palaestinae,Daboia palaestinae,Daboia_palaestinae,32935882057,0.47849214,6210271030,0.152352855,0.241408382,13939290269,0.105285115,0.180715069,0.112512634,219,0.11482624,227,0.116761753,212,0.164470602,168,0.073995209,0.075037406,0.082565859,0.099201308,LC,LC
Dolichophis_jugularis,Dolichophis jugularis,Dolichophis jugularis,Dolichophis_jugularis,6.95E+11,0.023369116,8229530225,0.132160449,0.222031247,13918890975,0.102862639,0.176626755,0.126668326,203,0.129630747,207,0.129743847,193,0.135278877,198,0.071206288,0.069935893,0.074766898,0.076603921,LC,LC
Echis_coloratus,Echis coloratus,Echis coloratus,Echis_coloratus,1.57E+12,0.009545544,4211617175,0.376155497,0.427329406,12081185058,0.348146465,0.379164106,0.235027755,113,0.261970463,104,0.191603252,124,0.20964069,125,0.155363885,0.170585546,0.183742301,0.224980892,NE,LC
Eirenis_coronella,Eirenis coronella,Eirenis coronella,Eirenis_coronella,5.11E+11,0.036778636,1733978601,0.279920533,0.309379386,7165824565,0.314944084,0.364596322,0.232139934,116,0.252294525,116,0.205456232,111,0.22049432,120,0.128553412,0.145079579,0.147529285,0.181275841,LC,LC
Eirenis_decemlineatus,Eirenis decemlineatus,Eirenis decemlineatus,Eirenis_decemlineatus,1.01E+11,0.154515289,3246139322,0.14136378,0.235964484,12781172052,0.106672322,0.183275379,0.088270706,255,0.089744827,261,0.093929388,248,0.097999829,252,0.058497646,0.060302715,0.066818046,0.071386123,LC,LC
Eirenis_levantinus,Eirenis levantinus,Eirenis levantinus,Eirenis_levantinus,45224028653,0.011285543,35074326.68,0.012499058,0.847869235,174059979.1,0.355132214,0.701976427,0.060746559,297,0.06068042,304,0.069166891,292,0.071529603,295,0.052877623,0.051719538,0.060579329,0.064168979,LC,CR
Eirenis_lineomaculatus,Eirenis lineomaculatus,Eirenis lineomaculatus,Eirenis_lineomaculatus,95347129160,0.174248075,1869467717,0.118290415,0.197766436,11751548458,0.109712362,0.18213842,0.052643945,309,0.05362147,309,0.058631449,301,0.064356979,299,0.042147202,0.042457692,0.046512423,0.053003349,LC,LC
Eirenis_rothii,Eirenis rothii,Eirenis rothii,Eirenis_rothii,1.16E+11,0.138322465,4809579250,0.151937631,0.250740972,14388451773,0.107870991,0.184417493,0.057161873,303,0.05804651,306,0.063389495,294,0.074093588,291,0.042984564,0.044328037,0.048787321,0.055774575,LC,LC
Eryx_jaculus,Eryx jaculus,Eryx jaculus,Eryx_jaculus,2.59E+12,0.007915118,4585700978,0.047259432,0.090299852,16281044138,0.099552645,0.171053675,0.078071875,277,0.080792913,276,0.081040304,269,0.084282302,272,0.04653466,0.045426358,0.049111632,0.051395503,NE,LC
Eumeces_schneideri,Eumeces schneideri,Eumeces schneiderii,Eumeces_schneiderii,2.48E+12,0.011252469,5877332967,0.18936492,0.312507649,27432177298,0.21858263,0.28179572,0.068762908,290,0.072542516,292,0.069449962,291,0.07188541,294,0.0355225,0.034523168,0.037369738,0.042231975,NE,LC
Hemidactylus_turcicus,Hemidactylus turcicus,Hemidactylus turcicus,Hemidactylus_turcicus,2.23E+12,0.012559127,5902862328,0.133650124,0.198108593,27433990512,0.218582207,0.281790309,0.122746258,206,0.129461289,208,0.118701352,207,0.123136887,214,0.066845022,0.064032713,0.071472975,0.074360257,LC,LC
Hemorrhois_nummifer,Hemorrhois nummifer,Hemorrhois nummifer,Hemorrhois_nummifer,5.18E+11,0.029893406,5643907105,0.12621691,0.217743218,13508148149,0.107678014,0.180732051,0.096559705,245,0.098155251,248,0.102061686,233,0.106253413,240,0.054239566,0.051816168,0.058317428,0.059822118,LC,LC
